Id,Toponym,Number,xcoord,ycoord
"0","(unnamed / illegible, no. 4)","3071",0.0403866242870985,-0.00928696225764972
"0","(unnamed / illegible, no. 3)","3043",0.0427560718597877,-0.00847064252206284
"0","(unnamed / illegible, no. 1)","3016",0.0123222885930438,-0.00801141492462643
"0",[Tolbiacum] o. [Belgica vicus] (Miller),"3351",0.0554078534264562,-0.00572089838031715
"0","(unnamed / illegible, no. 26)","3066",0.14709531364871,-0.0235071956685476
"0",(Brigantio),"3278",0.0769503408231371,-0.0149372597537629
"0","(unnamed / illegible, no. 17) [Casae] (Miller)","688",0.072342431059981,-0.0259773293117156
"0","(unnamed / illegible, no. 2)","3083",0.020335443243731,-0.0102578787045718
"0","(unnamed / illegible, no. 16)","677",0.0625967614113822,-0.026293917727709
"0","(unnamed / illegible, no. 28)","690",0.214583897933603,-0.0082944426460323
"0","(unnamed / illegible, no. 18)","36",0.0750945173695847,-0.0241185217909943
"0","(unnamed / illegible, no. 20)","627",0.163552262280606,-0.00630937830777685
"0","(unnamed / illegible, no. 13)","622",0.0270219116439191,-0.0269357507101816
"0","(unnamed / illegible, no. 32) [Admartis] (Miller)","209",0.197315923957575,-0.0173959970766399
"0","(unnamed / illegible, no. 21)","629",0.166309131201391,-0.00650702148283793
"0","(unnamed / illegible, no. 24)","1154",0.114235999076995,-0.0276306726406127
"0","(unnamed / illegible, no. 23)","1144",0.113105863006991,-0.0277978866313974
"0","(unnamed / illegible, no. 27)","207",0.153177679776801,-0.0241722654658385
"0","(unnamed / illegible, no. 29)","691",0.218532828932508,-0.00873321275213916
"0","(unnamed / illegible, no. 55)","2783",0.398625449890992,-0.0256553472732716
"0","(unnamed / illegible, no. 11)","2931",0.0121270117715441,-0.0217607692470441
"0",Dodona,"934",0.307387210603893,-0.0187498529604289
"0","(unnamed / illegible, no. 9)","3284",0.00322258374840672,-0.0234331474909291
"0","(unnamed / illegible, no. 10)","3369",0.00326465403232098,-0.0241062719757345
"0",Iria,"78",0.108178740205465,-0.0123694110266269
"0",Bibe,"3078",0.040397431730179,-0.00872061536238299
"0","(unnamed / illegible, no. 35)","2941",0.168937040088992,-0.0233439404151831
"0","(unnamed / illegible, no. 8)","3179",0.0128924706673046,-0.0154769750882373
"0",Cio,"1300",0.404022766281445,-0.0175115402106603
"0","(unnamed / illegible, no. 76)","1830",0.54986469976987,-0.0208000518099255
"0","(unnamed / illegible, no. 71)","1806",0.535126997958695,-0.0233302242844606
"0",Vio,"1015",0.331467155071749,-0.00906849996618137
"0","(unnamed / illegible, no. 51)","1162",0.380363212682696,-0.0215987834854247
"0",Ela,"1324",0.417316616282572,-0.0198309603672535
"0",Buto,"2792",0.415637809412935,-0.0223960671324215
"0",Lura,"3042",0.0323377194699335,-0.00742918776847504
"0",Cito,"1551",0.466498460575746,-0.0217462532314328
"0",Beda,"3355",0.0608202366174878,-0.00711534924944989
"0",Curia,"24",0.109892933072677,-0.00818794651484337
"0",Ani,"575",0.153498841623313,-0.00696345064253948
"0",Ilio,"933",0.308062045381631,-0.0168065071115488
"0",Lucis,"449",0.294573387811945,-0.0178643117162231
"0",Cale,"496",0.248924281704806,-0.0190261754704148
"0",Hale,"1968",0.403598699261664,-0.00691350345716172
"0",Belca,"3098",0.0340686045174382,-0.0112354537315657
"0",Ṿallio (Vallio),"3370",0.0542750984607445,-0.00865698227590032
"0",Cano,"1506",0.448333876870545,-0.018773731402712
"0",Cosa,"3206",0.0172432536217459,-0.016592659280218
"0","(unnamed / illegible, no. 62)","1693",0.477885335823728,-0.0161148355960637
"0",Opiae,"3444",0.123464589977312,-0.00507351886213173
"0",Ora,"1911",0.577839702206987,-0.0207077010393134
"0",Curis,"2800",0.415339880657334,-0.0244114513574519
"0",Zure,"2358",0.331426364001368,-0.0255437747463776
"0",Mose,"3050",0.0487618108469558,-0.00693869856609426
"0",Hasia,"3323",0.102027166082472,-0.0147460457388165
"0","(unnamed / illegible, no. 60)","1668",0.489945338277331,-0.011251094420334
"0",Nemea,"994",0.322018218621653,-0.0203395162712076
"0",Ereto,"220",0.213816725708651,-0.015092050318862
"0",Cassio,"2857",0.427647709168882,-0.0216762784662871
"0",Teos,"1332",0.427145676161124,-0.0194849675453306
"0",Agira,"990",0.320936655684429,-0.0193458720600004
"0",presidio (Praesidio),"2446",0.337771798012861,-0.0261660494906029
"0",Hasta,"127",0.138634455648544,-0.0200241308256926
"0",Saba,"1653",0.501449510521598,-0.0135485612628867
"0",Mose,"3367",0.0488854151821822,-0.00915343959325255
"0",Hadia,"1795",0.525478891100557,-0.0239014252837355
"0",Fạ[...] (Fines Miller),"3205",0.0150309336078221,-0.01662523181595
"0",Dimo,"1018",0.335581866562661,-0.00853437310326719
"0",Abila,"2927",0.458937183058161,-0.0259564219748111
"0",Lato,"2818",0.398313227918866,-0.0280439130604001
"0",Catina,"550",0.289025316678178,-0.0226602198452157
"0",Acori,"2839",0.410144707495254,-0.0260800310565366
"0",Celia,"378",0.266748150624073,-0.0127638380476065
"0",Fines,"3090",0.0340466412708953,-0.0103266535849618
"0",Almo,"842",0.322230083224526,-0.00918549167689029
"0",Fines,"3166",0.0283823367373445,-0.0158775968271377
"0",Riobe,"3070",0.0396003207095261,-0.00908301419969997
"0",Missua,"1623",0.233037118223706,-0.0243155639590091
"0",Lysa,"2883",0.433278447376631,-0.0248651300240076
"0",Atella,"507",0.256435157417203,-0.0205483289731189
"0",Zaca,"2489",0.102241778962743,-0.0231778849596039
"0",Oboda,"2884",0.434904097419351,-0.0247896644187583
"0",Anxia,"416",0.276317166694933,-0.0151497975898153
"0",Delta,"2805",0.414764206856006,-0.0256954293078124
"0",Elusa,"3198",0.00389719644560342,-0.0155877223978762
"0",Como,"30",0.119888947178248,-0.00859283995772246
"0",Vica,"1813",0.542618176469717,-0.0176876555360079
"0",Aballo,"3095",0.0452400659592914,-0.0116259407476119
"0",Fines,"3157",0.0174530328177924,-0.0147271850215361
"0",Liso,"1161",0.37836414074481,-0.0212426056104792
"0",Gonia,"2754",0.387966753668961,-0.024765224220874
"0",Tablis,"3000",0.0204146849404929,-0.00505811658632807
"0",Oneo,"768",0.252680059491205,-0.00986449976430484
"0",Vlmo,"610",0.184813897091648,-0.00518033799047382
"0",Filena,"3386",0.0479165576406104,-0.0106641782759223
"0",Madus,"2976",0.00369615095727861,-0.00839383206326297
"0",Rasa,"2881",0.429265415112035,-0.025122364410765
"0",Clano,"3243",0.0510768670693335,-0.0182951635356298
"0",Dios,"2828",0.410092563919066,-0.0285356988172372
"0",istamo (Istamo),"973",0.324466210664785,-0.018503689986153
"0",Cnoso,"1166",0.386923070643342,-0.0207894078025627
"0",Dyme,"987",0.317447776181904,-0.0203011048097158
"0",Lorio,"267",0.213278784794255,-0.0196445193302654
"0",Ilio,"1313",0.397366549770813,-0.0205454271275986
"0",Sipia,"3109",0.019926775956192,-0.0108366534053625
"0",Scyle,"448",0.29481704916328,-0.0183223265489836
"0",Fines,"3178",0.0104219734423151,-0.0149919552937713
"0",Ioppe,"2867",0.44018113109764,-0.0218710513958881
"0",Asine,"1000",0.324248674585641,-0.0223240954941762
"0",Bada,"1126",0.334727954395843,-0.0161599890779431
"0",Rama,"3258",0.0755616481081293,-0.0162581001730493
"0",Cicisa,"3240",0.212756106718396,-0.0243818178100264
"0",Falera,"949",0.324137285608525,-0.015964555629133
"0",Reate,"217",0.210784972470682,-0.0148036001036613
"0",Nepe,"242",0.194237653989718,-0.0192064101389393
"0",Alerta,"3159",0.0320725092033107,-0.013491063632254
"0",Telmi,"2840",0.410879738223376,-0.0264097343242682
"0",Fines,"3209",0.0166300450416146,-0.0171555509543428
"0",Ceroni,"969",0.330170481807808,-0.0184472888769238
"0",Lisia,"1173",0.387023074974918,-0.0223658979206349
"0",Palto,"2961",0.467801649092965,-0.0236196351540044
"0",Svlim (Sulim),"3128",0.0168889161567263,-0.0122055351781269
"0",Cumas,"513",0.249972660433311,-0.0222941703240095
"0","(unnamed / illegible, no. 69)","1724",0.505530333242048,-0.0277923505377317
"0",Lvco (Luco),"3276",0.0644791394755991,-0.0157900151016644
"0",Heba,"1682",0.514114389179799,-0.0182954721130997
"0",Tegna,"3272",0.0571705032706212,-0.0158638209837024
"0",Mallo,"1484",0.469895207934234,-0.0182598558174038
"0",Fossis,"144",0.160585636316418,-0.0128542236908735
"0",erite,"1051",0.361419970002548,-0.0116444913693992
"0",Cabios,"341",0.221431323381217,-0.0161312571787233
"0",Nola,"504",0.26059060816996,-0.0200617837982291
"0",Sabis,"154",0.174866299692724,-0.015269071311701
"0",Netide,"985",0.314960902310854,-0.0213358032292402
"0",Voconi,"3217",0.00390535353628536,-0.018241013891192
