rc_index_no,rc_book,rc_continent,rc_patria_original,rc_patria,rc_list_number_original,rc_list_number,weber_list_no,pp_page,schnetz_page,rc_toponym,weber_look_up_key,weber_no,tp_name_weber,tp_alt_name_weber,talbert_gridsquare,talbert_id,rc_name_weber,rc_name,rc_uri,rc_page,rc_itinerary,rc_itin_no,ku_id,on_tp,pleiades_id,ku_gridsquare,ku_name_lookup,talbert_name_lookup,pleiades_name_lookup,ku_uri_lookup,talbert_uri_lookup,pleiades_uri_lookup,rep_lat,rep_long,ku_x,ku_y,region_id,region,primary_source,other_sources
1,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,40,15,Palanda,1 Palanda,,,,,,,,,,,,,FALSE,,,,,,,,,,,0,0,2.1,India Dimirica Evilat,Castorius (Roman),-
2,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,40,15,Sinna,1 Sinna,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
3,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,40,15,Bonogaris,1 Bonogaris,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
4,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,40,15,Bilimasgram,1 Bilimasgram,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
5,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,40,15,Sainpam,1 Sainpam,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
6,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,40,15,Moduram,1 Moduram,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
7,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,40,15,Samar,1 Samar,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
8,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,41,15,Corubantaci,1 Corubantaci,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
9,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,41,15,Mirris,1 Mirris,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
10,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,41,15,Saotis,1 Saotis,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
11,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,41,15,Cosimbiae,1 Cosimbiae,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
12,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,41,15,Indavadara,1 Indavadara,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
13,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,41,15,Tolabum,1 Tolabum,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
14,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,41,15,Absadistiappa,1 Absadistiappa,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
15,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,41,15,Nincibala,1 Nincibala,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
16,2,Asia,India Dimirica Evilat,India Dimirica Evilat,1a,1a,1,41,15,Parogaarum,1 Parogaarum,,,,,,,,,,,,0,FALSE,,,,,,,,,,,,,2.1,India Dimirica Evilat,Castorius (Roman),-
