stage,pleiades_id,pleiades_toponym,TP_gridsquare,Talbert_id,ku_id,ku_name_lookup,talbert_name_lookup,TP_symbol,TP_notes,TP_coastal,RC_peri_count,pp_page,schnetz_page,RC_peri_ref,RC_peri,RC itin,gg_ref,GG_peri,GG_itin,representative_latitude,representative_longitude,ku_x,ku_y
1,393480,Ravenna,4B1,1140,153,Ravenna,Ravenna,yes,start of circuit,Ravenna,1,326,84,326.1,Ravenna,"Ravenna nobilissima, in qua licet idiota ego huius cosmographiae expositor Christo adiuvante genitus sum,",69.2,Ravenna,"Ravenna, in qua idem cosmographiae expositor huius licet indoctusimus Christi servus exortus sum",44.415718,12.196604,0.173224498,-0.015294238
1,,Caesena,,,0,,,,,,2,326,84,326.2,Caesarea,Caesarea,69.21,Cesarea,Cesarea,0,0,,
1,393404,Classis,,,,,,,,,3,326,84,326.3,Classis,Classis,70.1,Classis,Classis,44.3953243,12.21907269,,
1,393379,Ariminum,4B2,1144,157,Arimino,ARIMINO,yes,,ARIMINO,4,326,84,326.4,Ariminum,Ariminum,70.2,Ariminum,Ariminum,44.0589565,12.5631945,0.179846961,-0.015312741
1,413256,Pisaurum,4B2,1145,158,Pisauro,Pisavro,,,Pisavro,5,326,84,326.5,Pensarum,Pensaurum,70.3,Pensaurum,Pisaurum,43.912081,12.91577,0.181875326,-0.015143285
1,413129,Fanum Fortunae,4B2,1146,159,Fano Furtunae,Fano Fvrtvn(a)e,,,Fano Fvrtvn(a)e,6,326,84,326.6,Fanum,Fanum,70.4,Fanum,Fanum,43.844902,13.016921,0.183489314,-0.014760818
1,413310,Sena Gallica,4B3,1159,173,Sena Galli,Sena Galli,,,Sena Galli,7,326,84,326.7,Sinogalias,Senogalia,70.5,Senecalia quae Senegallia,Senegallia quae et Senogallia,43.714978,13.21799,0.189317116,-0.015004407
1,412989,Ad Aesim,4B3,1160,175,Sestias,Sestias,,,Sestias,8,326,84,326.8,Sextias,Sextia,70.6,Sextia,Sextia,43.629616,13.396908,0.191484969,-0.01491013
1,413014,Ancon(a),4B3,1161,176,Ancone,ANCONE,yes,,ANCONE,9,326,84,326.9,Ancona,Ancona,70.7,Anchona,Ancona,43.61899267,13.51607267,0.19278586,-0.014754393
1,413228,Numana,4B3,1162,177,Numana,Nvmana,,,Nvmana,10,326,84,326.1,Humana,Humana,70.8,Numana,Humana,43.511271,13.62142,0.194999929,-0.014748567
1,413272,Pollentia,4B4,1164,179,Polentia,Polentia,yes,,Polentia,11,326,84,326.11,Potentia,Potentia,70.9,Petentia,Potentia,43.4198358,13.66733325,0.201574101,-0.013327816
1,416851,Sacrata,4B4,1178,194,Sacrata,Sacrata,,,Sacrata,12,326,84,326.12,Sacria,Sacrata,70.1,Sacraria,Sacrata,43.4198358,13.66733325,0.203547339,-0.01322526
1,416810,Flosis (river),4B4,1179,,,,,,Flvsor fl.,13,326,84,326.13,Flosor,Floxo,70.11,Floxora,Floxor,43.39545,13.67994,,
1,413246,Pausulae,,,0,,,,,,14,326,84,326.14,Pausulas,Pausas,70.12,Pausula,Pausulas,43.2743549,13.5001341,,
1,413341,Tinna (river),#N/A,#N/A,#N/A,#N/A,,,,Tinna [fl.],15,326,84,326.15,Tinna,Pinna,70.13,Inna,Pensas,43.23359,13.77118,#N/A,
1,413069,Castellum Firmanorum,4B4,1181,198,Castello Firmani,Castello Firmani,,,Castello Firmani,16,326,84,326.16,Firmo,,70.14,Firmum,,43.183742,13.794334,0.210704001,-0.012201505
1,413112,Cupra Maritima,4B5,1182,199,Cupra Maritima,Cvpra Maritima,,,Cvpra Maritima,17,326,84,326.17,Cupra,,70.15,Cupra,,43.0225465,13.85713,0.21380406,-0.011989845
1,413074,Castrum Truentinum,4B5,1262,286,Castro Trentino,Castro trentino,,,Castro Trentino,18,327,84,327.1,Troentino,,70.16,Troentina,,42.913675,13.904352,0.217943307,-0.011928288
1,413273,Praetuttii,,,0,,,,,,19,327,84,327.2,Perturno,,70.17,Peturnum,,42.7808474,13.79816344,,
1,413073,Castrum Novum,4B5,1263,,,,yes,,Castro Novo,20,327,84,327.3,Castronovum,,70.18,Castrum novum,,42.752395,13.962266,,
1,413197,Matrinum,5B1,1264,288,Macrinum,Macrinv̄,,,Macrinv̄,21,327,84,327.4,Macrinum,,70.19,Macrinum,,42.534535,14.135503,0.222943042,-0.012661222
1,413255,Pinna,5B1,1265,289,Pinna,Pinna,yes,,Pinna,22,327,84,327.5,Pinnis,Pinnis,70.2,Pinnis,Pinnis,42.457647,13.927488,0.224309333,-0.012922436
1,416852,Salinae,5B1,1267,291,Salinas,Salinas,,,Salinas,23,327,84,327.6,Salinis,"Balba, quae etsi a mari centum milia ponitur tamen territorium eius usque ad mare pertingit.",70.21,Salinis,"Valba, quae etsi a mare centum miliariis distet, territoria tamen eius usque ad mare pertingunt,",42.43952987,14.08788,0.226022742,-0.013178171
1,413237,Ostia Aterni,5B1,1268,292,Ostia Eterni,Ostia Eterni,yes,,Ostia Eterni,24,327,84,327.7,Aderno,Aderno,70.22,Adernum,Adernum,42.46482,14.214093,0.228303907,-0.013579295
1,413234,Ortona,5B1,1269,293,Ortona,Ortona,,,Ortona,25,327,84,327.8,Ortona,Ortona,70.23,Ortona,Ortona,42.356904,14.405203,0.230646922,-0.013757865
1,413017,Anxanum,5B2,1270,295,Anxano,Anxano,,,Anxano,26,327,84,327.9,Ansianum,Anximmum,70.24,Ansianum,Anxinum,42.233175,14.391377,0.232075158,-0.013787546
1,413333,Teate,,,0,,,,,,27,327,84,327.1,"Teanum, Teadem",Teadem,70.25,Teade,Teate,42.351795,14.167152,,
1,432887,Iuvanum,5B2,1271,296,Annum,Annv̄,,,Annv̄,28,327,84,327.11,Annum,Annum,70.26,Annum,Annum,41.99770877,14.24960383,0.233746807,-0.013575692
1,413242,Pallanum,5B2,1272,297,Pallanum,Pallanvm,,,Pallanvm,29,327,84,327.12,Palanum,Pallannum,71.1,Pallannum,Pallanum,42.17209,14.48562,0.234931703,-0.013745162
